Model,Pass,Mean_ACC,Std_ACC,Mean_F1,Std_F1,Mean_Precision,Std_Precision,Mean_Recall,Std_Recall
ViT,pass01,0.4992066,0.0378962680919903,0.3809362,0.060807072016337,0.3460604,0.1288806563620002,0.4913406,0.0318989580676234
ViT,pass02,0.5498008,0.0205093323197026,0.3862854,0.0382599209591447,0.5001789999999999,0.2251059545036514,0.5139446,0.0263419554380459
ViT,pass03,0.4812751999999999,0.0086371061820496,0.3633636,0.037257890430082,0.4784452,0.1468919642039686,0.5046664,0.0079438568907048
ViT,pass04,0.5198414,0.085478697772018,0.43162,0.099768183578233,0.4109032,0.1528433520216041,0.5095548,0.0179445870863611
ViT,pass05,0.598419,0.018665053428801,0.4067184,0.0163921306211242,0.4806158,0.1364023813160899,0.4958918,0.011721895141145
ViT,pass06,0.5587302000000001,0.0043471370118734,0.367463,0.0145536962487197,0.4215324,0.2201000261581084,0.500441,0.0024805553813611
ViT,pass07,0.4892431999999999,0.0017816989644718,0.3369586,0.0180710069669623,0.2914114,0.1037343239713837,0.4989646,0.0023152247839032
ViT,pass08,0.5048,0.0130843417870369,0.3923336,0.0593144031479707,0.4816036,0.1410717451238907,0.5048,0.0130843417870369
ViT,pass09,0.4920634,0.0925547208644702,0.4164588,0.0523171595339425,0.4259562,0.0830509194512619,0.4704316,0.0352129390608054
ViT,pass10,0.7084336,0.0060909941553082,0.4340282,0.027413567082742,0.4794641999999999,0.1839763612619838,0.5075497999999999,0.0110911562156522
ViT + LSTM,pass01,0.5103176,0.0045245669185017,0.3676766,0.060507898040669,0.346854,0.1270461557604164,0.4996596,0.0063818972727551
ViT + LSTM,pass02,0.5752988,0.0351410102330596,0.4510273999999999,0.1012049919040557,0.5627776,0.0823668405597786,0.53139,0.050414381841891
ViT + LSTM,pass03,0.4884463999999999,0.0160847061769868,0.397538,0.0333570501393633,0.5299235999999999,0.0752212965043809,0.5097464,0.0162030672034648
ViT + LSTM,pass04,0.5634919999999999,0.0407593209891921,0.4842102,0.0634157654388875,0.4796674,0.1018335304101748,0.5163266,0.0314741186500909
ViT + LSTM,pass05,0.5976284,0.0239448073765482,0.402899,0.0220657531709207,0.421769,0.1206529969022734,0.4948718,0.0131801338650258
ViT + LSTM,pass06,0.5531746,0.0103481600683406,0.3561346,0.0043196500784206,0.2783352,0.0023336793267284,0.4943262,0.009247258523476
ViT + LSTM,pass07,0.4860559999999999,0.0056342268324943,0.3334533999999999,0.0104215821399632,0.3339388,0.1245487422846975,0.4957762,0.0058387947985864
ViT + LSTM,pass08,0.52,0.0172046505340852,0.4201634,0.0878650792596239,0.611728,0.0848752626004774,0.52,0.0172046505340852
ViT + LSTM,pass09,0.5531746,0.0560214097448466,0.4353554,0.0642046795202654,0.4453305999999999,0.0987539278170746,0.4885097999999999,0.045273041196721
ViT + LSTM,pass10,0.7052206,0.0035920195990556,0.4135639999999999,0.0012387816595348,0.3531766,0.0005308425378584,0.4988635999999999,0.0025410676496307
Co-ViT-LSTM,pass01,0.5269842,0.0315467622934589,0.3856586,0.0840875221230831,0.3849594,0.1799463330379365,0.5161656,0.0334171965730221
Co-ViT-LSTM,pass02,0.5745020000000001,0.0311674438637499,0.4224135999999999,0.0973827263368612,0.4091456,0.1807139877618774,0.5243306000000001,0.0419780861497996
Co-ViT-LSTM,pass03,0.498008,0.014085567081236,0.412087,0.0540810456352315,0.5951848,0.0863892067951778,0.5185063999999999,0.0121304399054609
Co-ViT-LSTM,pass04,0.5992062,0.0288892617281923,0.4098288,0.0523869491925231,0.4627726,0.1513435836789918,0.5028756,0.003220087467756
Co-ViT-LSTM,pass05,0.6039524000000001,0.0119886414701582,0.3913138,0.0157490130230436,0.3674064,0.083643612280317,0.4962804,0.0051155872390176
Co-ViT-LSTM,pass06,0.5611112,0.0035490870938876,0.376008,0.0239030391373147,0.3906672,0.1529748015040385,0.5035270000000001,0.0056059626292011
Co-ViT-LSTM,pass07,0.4852591999999999,0.0065463800073017,0.330466,0.0056366888773463,0.2737408,0.065364045492916,0.4950266,0.0068829877451583
Co-ViT-LSTM,pass08,0.5128,0.0287610848195961,0.4234023999999999,0.10087756555994,0.4717376,0.1347102794381334,0.5128,0.0287610848195961
Co-ViT-LSTM,pass09,0.5626984,0.037999729068771,0.4157194,0.046520806939476,0.4938656,0.1856164338381707,0.4889802,0.0175507836349263
Co-ViT-LSTM,pass10,0.7060238,0.0017960097995278,0.4138415999999999,0.0006180491889809,0.3532958,0.0002643032349404,0.4994318,0.0012705338248153
ViT + Transformer,pass01,0.4801590000000001,0.0448956237510963,0.3453454,0.0107573637709245,0.2986318,0.0586659259809303,0.469862,0.0425489825025229
ViT + Transformer,pass02,0.5569721999999999,0.0017816989644718,0.3593331999999999,0.0028559060208627,0.3120856,0.074241034561757,0.4994724,0.0011797494649288
ViT + Transformer,pass03,0.4892431999999999,0.013333014182847,0.3943116,0.0606082572905705,0.4751024,0.1335785611327656,0.5101732,0.0082868182796535
ViT + Transformer,pass04,0.5563492,0.0844782000056819,0.427466,0.0650872807582249,0.4713696,0.0993146902089514,0.5015769999999999,0.0189929553255937
ViT + Transformer,pass05,0.6086957999999999,0.007394316783855,0.3839076,0.0045268923446443,0.4458116,0.2080775471604276,0.4979,0.0056056133919491
ViT + Transformer,pass06,0.557143,0.0130412740941979,0.3856612,0.0386382131341499,0.3890268,0.1563852559329043,0.5020894,0.0083975997046775
ViT + Transformer,pass07,0.4868528,0.0071267958578873,0.3323518,0.0077698890082162,0.2774664,0.0725523560251491,0.496621,0.0075556736959717
ViT + Transformer,pass08,0.5152,0.0170645832061612,0.3821936,0.0598735387487661,0.4723892,0.2048629620446312,0.5152,0.0170645832061612
ViT + Transformer,pass09,0.542857,0.0682377177043605,0.411498,0.0524323557548199,0.3888863999999999,0.0900939173462892,0.4889412,0.0145643546269651
ViT + Transformer,pass10,0.7052206,0.0035920195990556,0.4228606,0.0195490479000896,0.3938609999999999,0.0904422414859339,0.5020704,0.0046295551406156
Co-ViT-Transformer,pass01,0.5023812000000001,0.0141972428027416,0.3517156,0.0204836879931324,0.3314002,0.1049128622200347,0.4950084,0.0070208128304349
Co-ViT-Transformer,pass02,0.5402392,0.0825478041936913,0.442232,0.1122689448044293,0.4373746,0.1686728477016973,0.5223552,0.0637540223452607
Co-ViT-Transformer,pass03,0.4788846,0.0181263362486741,0.362861,0.0582231928186698,0.3474822,0.1553666270091488,0.5017316,0.0176930178403798
Co-ViT-Transformer,pass04,0.6095238000000001,0.0045242160867934,0.3842364,0.0084806116996358,0.4455106,0.2198461191738439,0.4998144,0.0041305417078151
Co-ViT-Transformer,pass05,0.604743,0.0155612620632132,0.3817,0.0049168778711698,0.3249896,0.042168186833204,0.494674,0.0102019962752394
Co-ViT-Transformer,pass06,0.559524,0.0,0.358779,0.0,0.279762,0.0,0.5,0.0
Co-ViT-Transformer,pass07,0.4876495999999999,0.0035633979289436,0.334037,0.0136447803939821,0.289811,0.1013044691857175,0.4974021999999999,0.0037404530741609
Co-ViT-Transformer,pass08,0.5056,0.0066932802122726,0.3883974,0.0645432136347424,0.423591,0.1604562705038354,0.5056,0.0066932802122726
Co-ViT-Transformer,pass09,0.5460318,0.0822202899362438,0.3944864,0.0626051921033711,0.4000918,0.0989489754656408,0.4966274,0.012821578405173
Co-ViT-Transformer,pass10,0.7060238,0.0017960097995278,0.4163903999999999,0.0050812408720705,0.3867962,0.0746448684384935,0.5002334,0.0005218982659485
